,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,Genre
157,0.516,0.745,2,-8.352,1,0.0774,0.563,0.0,0.275,0.825,186.004,3,Country
158,0.551,0.821,7,-6.16,1,0.0453,0.0915,4.03e-06,0.155,0.519,75.979,4,Country
159,0.6,0.698,9,-5.86,1,0.0355,0.0724,1.64e-06,0.113,0.57,140.032,4,Country
160,0.428,0.664,0,-5.842,1,0.039,0.28,0.0,0.174,0.623,166.222,4,Country
161,0.463,0.778,9,-3.013,1,0.0489,0.413,0.0,0.16,0.424,175.888,4,Country
162,0.537,0.561,1,-8.09,1,0.0287,0.275,5.78e-05,0.126,0.35,139.939,4,Country
163,0.536,0.97,6,-3.199,1,0.0426,0.000738,0.00163,0.131,0.848,146.062,4,Country
164,0.764,0.555,11,-6.414,1,0.0604,0.275,0.0,0.0824,0.255,111.004,4,Country
165,0.547,0.817,9,-4.255,1,0.0448,0.0986,0.0,0.136,0.592,142.118,4,Country
166,0.643,0.84,9,-3.057,1,0.0965,0.0158,0.0,0.154,0.806,99.988,4,Country
167,0.701,0.5,8,-8.82,1,0.0303,0.46,0.0,0.234,0.409,97.028,4,Country
168,0.462,0.512,9,-5.443,1,0.0334,0.478,0.0,0.0993,0.29,114.014,4,Country
169,0.466,0.672,4,-5.926,1,0.036,0.737,0.0,0.0858,0.334,89.081,4,Country
170,0.519,0.872,2,-3.212,1,0.0616,0.0793,0.0,0.111,0.74,179.965,4,Country
171,0.592,0.749,11,-4.604,1,0.0483,0.0203,0.0,0.122,0.614,160.046,4,Country
172,0.484,0.903,8,-3.9,0,0.0882,0.0649,0.0,0.151,0.716,169.948,4,Country
173,0.441,0.826,6,-4.175,1,0.04,0.0638,0.00162,0.0944,0.577,75.982,4,Country
174,0.54,0.846,8,-3.833,1,0.0417,0.0303,0.0,0.17,0.774,143.983,4,Country
175,0.659,0.623,4,-2.253,1,0.0451,0.0667,0.0,0.582,0.439,88.042,4,Country
176,0.565,0.805,0,-4.457,1,0.0489,0.0808,0.0,0.173,0.869,76.04,4,Country
177,0.44,0.803,5,-6.162,1,0.0512,0.127,0.0,0.128,0.633,79.312,4,Country
178,0.573,0.747,0,-6.46,1,0.0319,0.519,1.13e-06,0.0867,0.645,79.952,4,Country
179,0.593,0.805,5,-4.892,1,0.0346,0.0636,0.0,0.226,0.845,103.955,4,Country
180,0.735,0.846,11,-5.423,1,0.0289,0.0123,2.55e-05,0.121,0.842,125.988,4,Country
181,0.669,0.559,5,-5.003,1,0.0251,0.0805,0.0,0.0703,0.491,95.001,4,Country
182,0.593,0.745,7,-4.37,1,0.0574,0.19,0.0,0.227,0.849,169.951,4,Country
183,0.558,0.737,6,-4.022,1,0.0275,0.0391,0.0,0.0944,0.335,149.956,4,Country
184,0.45,0.81,5,-3.149,1,0.0371,0.000495,0.187,0.265,0.686,169.997,4,Country
185,0.647,0.734,2,-5.334,1,0.0287,0.261,0.0,0.0684,0.346,132.018,4,Country
186,0.654,0.63,10,-4.644,1,0.0259,0.153,0.0,0.111,0.43,89.991,4,Country
187,0.591,0.815,10,-4.725,1,0.0366,0.168,8.68e-06,0.142,0.306,118.024,4,Country
188,0.547,0.743,2,-6.064,1,0.0323,0.235,0.0,0.231,0.647,77.9,4,Country
189,0.641,0.929,2,-5.287,1,0.0709,0.122,0.000632,0.129,0.551,101.991,4,Country
190,0.705,0.363,6,-8.327,1,0.0355,0.667,0.0,0.112,0.482,75.98,4,Country
191,0.612,0.621,7,-5.657,1,0.0734,0.169,0.0,0.137,0.883,185.857,4,Country
192,0.396,0.51,6,-6.274,1,0.0327,0.355,0.0,0.113,0.299,113.994,4,Country
193,0.621,0.791,9,-3.343,1,0.0265,0.0361,0.0,0.143,0.734,95.075,4,Country
194,0.6,0.851,11,-4.645,1,0.0388,0.00566,9.78e-06,0.0891,0.727,98.007,4,Country
195,0.687,0.641,11,-5.814,1,0.03,0.17,0.0,0.111,0.663,120.04,4,Country
196,0.504,0.838,6,-2.703,1,0.0486,0.396,0.0,0.195,0.569,146.065,4,Country
197,0.632,0.872,6,-4.242,1,0.0638,0.14,0.0,0.131,0.339,119.969,4,Country
198,0.58,0.725,0,-5.124,1,0.0273,0.016,0.0,0.107,0.369,93.014,4,Country
199,0.433,0.928,4,-5.117,0,0.0512,0.0135,2.01e-06,0.32,0.552,155.938,4,Country
200,0.602,0.73,0,-4.925,1,0.0314,0.00106,0.000115,0.095,0.923,164.027,4,Country
201,0.612,0.57,11,-6.642,0,0.0347,0.279,0.0,0.0963,0.335,77.004,4,Country
202,0.533,0.907,11,-3.793,1,0.0406,0.0292,0.0,0.386,0.7,150.99,4,Country
203,0.634,0.516,8,-6.05,1,0.0373,0.4,0.0,0.142,0.769,153.831,4,Country
204,0.629,0.464,4,-8.72,1,0.0334,0.75,0.0,0.0853,0.523,156.051,4,Country
